[01:22:53][INFO] mutation-deterministic: [ADV-DETERMINISTIC] Using forced seeds => A=/home/dhia/browser-fuzzer/Dissertation/tests/testing_seeds/combined/complex/trigger2.html, B=/home/dhia/browser-fuzzer/Dissertation/tests/testing_seeds/combined/complex/trigger1.html
[01:22:53][WARNING] mutation-deterministic: Complexity validation failed, enforcing aggressive mutations.
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:22:53][INFO] mutation-deterministic: Generated advanced deterministic mutation 1 => /home/dhia/browser-fuzzer/Dissertation/logger/run_20250318_012252/round_001/mutations/mutated_0001.html
[01:22:57][WARNING] mutation-deterministic: Complexity validation failed, enforcing aggressive mutations.
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:02][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
